IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Product Code;Usage Type; [lineItem/Operation];lineItem/LineItemDescription
Analytics;Data Warehouse;PaaS;Amazon Redshift;Compute Node Usage;AmazonRedshift;%Node:ra%;;
Analytics;Data Warehouse;PaaS;Amazon Redshift;Managed Storage;AmazonRedshift;%RMS%;;
Analytics;Data Warehouse;PaaS;Amazon Redshift;Data Scan;AmazonRedshift;%DataScanned%;;
Analytics;Data Warehouse;PaaS;Amazon Redshift;Compute Node Usage;AmazonRedshift;%Node:dc%;;
Analytics;Data Warehouse;PaaS;Amazon Redshift;Compute Node Usage;AmazonRedshift;%Node:ds%;;
Security, Identity, & Compliance;Directory Services;PaaS;AWS Directory Service;Directory Usage;AWSDirectoryService;;;Tax%
Security, Identity, & Compliance;Directory Services;PaaS;AWS Directory Service;Directory Usage;AWSDirectoryService;%MicrosoftAD-DC-Usage;;
Security, Identity, & Compliance;Directory Services;PaaS;AWS Directory Service;Directory Usage;AWSDirectoryService;%SimpleAD-Usage;;
Security, Identity, & Compliance;Directory Services;PaaS;AWS Directory Service;Directory Usage;AWSDirectoryService;%Small-Directory-Usage;;
Security, Identity, & Compliance;Directory Services;PaaS;AWS Directory Service;Directory Usage;AWSDirectoryService;%Large-ADConnector-Usage;;
Storage;Archive Storage;IaaS;Amazon Glacier;Archive Storage;AmazonGlacier;%ProvisionedCapacityUnit;;
Storage;Archive Storage;IaaS;Amazon Glacier;Archive Storage;AmazonGlacier;%TimedStorage-ByteHrs;;
Storage;Archive Storage;IaaS;Amazon Glacier;Archive Storage;AmazonGlacier;%Requests-Tier3;;
Storage;Archive Storage;IaaS;Amazon Glacier;Archive Storage;AmazonGlacier;%Requests-Tier1;;
Storage;Archive Storage;IaaS;Amazon Glacier;Archive Storage;AmazonGlacier;%EarlyDelete%;;
Storage;Object Storage;IaaS;Amazon Athena;Requests;AmazonS3;%EarlyDelete-GDA;;
Storage;Object Storage;IaaS;Amazon Athena;Requests;AmazonS3;%EarlyDelete-INT;;
Storage;Object Storage;IaaS;Amazon Athena;Requests;AmazonS3;%EarlyDelete-ZIA%;;
Storage;Object Storage;IaaS;Amazon Athena;Requests;AmazonS3;%EarlyDelete-SIA%;;
Storage;Object Storage;IaaS;Amazon Athena;Requests;AmazonS3;%Requests%Tier1;;
Storage;Object Storage;IaaS;Amazon Athena;Requests;AmazonS3;%Requests%Tier2;;
Storage;Object Storage;IaaS;Amazon Athena;Requests;AmazonS3;%Requests%Tier3;;
Storage;Object Storage;IaaS;Amazon Athena;Requests;AmazonS3;%Requests%Tier4;;
Storage;Object Storage;IaaS;Amazon Athena;Requests;AmazonS3;%Requests%Tier5;;
Storage;Object Storage;IaaS;Amazon Athena;Requests;AmazonS3;%Requests%Tier6;;
Storage;Object Storage;IaaS;Amazon Athena;Requests;AmazonS3;%TagStorage-TagHrs%;;
Application Integration & Serverless;Messaging;PaaS;Amazon Simple Notification Service;Messaging Requests;AmazonSNS;%DeliveryAttempts-HTTP;;
Application Integration & Serverless;Messaging;PaaS;Amazon Simple Notification Service;Messaging Requests;AmazonSNS;%DeliveryAttempts-SQS;;
Application Integration & Serverless;Messaging;PaaS;Amazon Simple Notification Service;Messaging Requests;AmazonSNS;%SMS-Price%;;
Application Integration & Serverless;Messaging;PaaS;Amazon Simple Notification Service;Messaging Requests;AmazonSNS;%SMS-Sent%;;
Application Integration & Serverless;Messaging;PaaS;Amazon Simple Notification Service;Messaging Requests;AmazonSNS;%DeliveryAttempts-APNS%;;
Machine Learning;Machine Learning;PaaS;Amazon Translate;Text Translation;translate;%TranslateText;;
Machine Learning;Machine Learning;PaaS;Amazon Transcribe;Speech to Text;transcribe;%StreamingAudio;%StreamingAudio;
Machine Learning;Machine Learning;PaaS;Amazon Transcribe;Speech to Text;transcribe;%TranscribeAudio;TranscribeAudio;
Developer Tools;CI/CD;PaaS;AWS CodePipeline;Pipeline Executions;AWSCodePipeline;;;Tax%
Developer Tools;CI/CD;PaaS;AWS CodePipeline;Pipeline Executions;AWSCodePipeline;%trialPipeline%;;
Developer Tools;CI/CD;PaaS;AWS CodeBuild;Build Minutes;CodeBuild;;;
Machine Learning;Machine Learning;PaaS;Amazon Machine Learning;ML Processing;AmazonML;%AMLBoxUsage;TrainModel;
Machine Learning;Machine Learning;PaaS;Amazon Machine Learning;ML Processing;AmazonML;%AMLBoxUsage;EvaluateModel;
Machine Learning;Machine Learning;PaaS;Amazon Polly;Text to Speech;AmazonPolly;;;
